('USDT_ONDO', 'USDC_ONDO', 'USDC_USDT')
('USDC_FLEX', 'USDC_WETH', 'WETH_FLEX')
('USDC_cbBTC', 'WBTC_USDC', 'WBTC_cbBTC')
('WBTC_renBTC', 'WBTC_WETH', 'WETH_renBTC')
('USDT_AVINOC', 'DAI_USDT', 'DAI_AVINOC')
('WBTC_CRV', 'USDC_CRV', 'WBTC_USDC')
('DAI_AVINOC', 'WETH_AVINOC', 'DAI_WETH')
('USDC_WETH', 'USDC_GRT', 'WETH_GRT')
('WETH_AVAIL', 'USDC_WETH', 'USDC_AVAIL')
('USDC_EIGEN', 'WETH_EIGEN', 'USDC_WETH')
('USDC_CRV', 'USDC_WETH', 'WETH_CRV')
('WETH_AVINOC', 'DAI_AVINOC', 'DAI_WETH')
('USDC_WETH', 'USDC_EIGEN', 'WETH_EIGEN')
('WETH_WIGL', 'USDC_WETH', 'USDC_WIGL')
('DAI_USDC', 'DAI_FRAX', 'FRAX_USDC')
('WBTC_WETH', 'WBTC_USDC', 'USDC_WETH')
('DAI_USDC', 'FRAX_USDC', 'DAI_FRAX')
('WBTC_MKR', 'DAI_MKR', 'WBTC_DAI')
('WETH_CRV', 'WBTC_WETH', 'WBTC_CRV')
('USDC_USDT', 'USDT_ONDO', 'USDC_ONDO')
('USDC_PAS', 'USDC_WETH', 'WETH_PAS')
('WBTC_USDC', 'WBTC_crvUSD', 'USDC_crvUSD')
('USDC_WETH', 'USDC_FLEX', 'WETH_FLEX')
('WETH_USDT', 'WETH_KOIN', 'USDT_KOIN')
('USDC_WETH', 'USDC_SLP', 'WETH_SLP')
('USDC_WETH', 'WETH_TRIBE', 'USDC_TRIBE')
('USDC_WETH', 'USDC_CRV', 'WETH_CRV')
('WBTC_WETH', 'WETH_USDT', 'WBTC_USDT')
('USDC_USDT', 'USDC_ONDO', 'USDT_ONDO')
('FRAX_USDT', 'USDC_USDT', 'FRAX_USDC')
('WBTC_WETH', 'WBTC_renBTC', 'WETH_renBTC')
('WETH_USDT', 'WETH_SXT', 'USDT_SXT')
('DAI_USDC', 'DAI_AVINOC', 'USDC_AVINOC')
('USDC_AVINOC', 'USDC_USDT', 'USDT_AVINOC')
('WETH_USDT', 'WETH_ONDO', 'USDT_ONDO')
('WBTC_DAI', 'WBTC_WETH', 'DAI_WETH')
('USDC_WETH', 'USDC_RSS3', 'WETH_RSS3')
('WETH_cbBTC', 'WBTC_cbBTC', 'WBTC_WETH')
('WBTC_USDT', 'WBTC_DAI', 'DAI_USDT')
('USDT_SAITO', 'WETH_SAITO', 'WETH_USDT')
('WBTC_WETH', 'DAI_WETH', 'WBTC_DAI')
('DAI_USDC', 'DAI_USDT', 'USDC_USDT')
('USDC_ONDO', 'WETH_ONDO', 'USDC_WETH')
('USDC_ETHFI', 'USDT_ETHFI', 'USDC_USDT')
('WETH_SPOT', 'USDC_WETH', 'USDC_SPOT')
('WETH_FLEX', 'USDC_WETH', 'USDC_FLEX')
('WETH_ENS', 'USDC_WETH', 'USDC_ENS')
('USDC_WETH', 'WETH_FOLD', 'USDC_FOLD')
('WETH_COW', 'USDT_COW', 'WETH_USDT')
('DAI_WETH', 'DAI_USDC', 'USDC_WETH')
('WETH_wCFG', 'USDC_WETH', 'USDC_wCFG')
('WETH_SPOT', 'USDC_SPOT', 'USDC_WETH')
('USDC_SWAP', 'WETH_SWAP', 'USDC_WETH')
('FRAX_USDT', 'DAI_FRAX', 'DAI_USDT')
('USDC_cbBTC', 'USDC_WETH', 'WETH_cbBTC')
('USDC_UST', 'FRAX_USDC', 'FRAX_UST')
('DAI_USDC', 'USDC_SNX', 'DAI_SNX')
('USDC_WETH', 'WBTC_USDC', 'WBTC_WETH')
('DAI_USDT', 'DAI_WETH', 'WETH_USDT')
('USDC_PASS', 'USDC_WETH', 'WETH_PASS')
('USDC_WETH', 'USDC_USDT', 'WETH_USDT')
